Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2020/01/20,06,CA,06081,San Mateo County,"164,881","601,692","2,506,183","736,880","652,602","277,362","345,631","344,824","98,989","28,797","15,356","3,118","2,624",06-06081-20200120,3,1
County,2020/01/20,06,CA,06085,Santa Clara County,"390,299","1,537,553","7,135,254","2,203,590","1,818,230","822,745","1,075,500","828,644","283,825","76,205","19,691","5,092","1,732",06-06085-20200120,3,1
County,2020/01/21,06,CA,06085,Santa Clara County,"348,657","1,579,195","7,507,613","2,306,490","1,843,475","849,413","1,154,174","988,753","290,977","60,269","8,729","3,374","1,959",06-06085-20200121,3,1
County,2020/01/21,06,CA,06081,San Mateo County,"150,040","616,533","2,630,888","776,013","664,994","301,565","369,875","394,073","94,398","18,008","7,035","1,979","2,948",06-06081-20200121,3,1
County,2020/01/21,06,CA,06075,San Francisco County,"232,195","649,354","2,870,546","1,012,395","788,684","362,422","383,257","212,487","84,143","18,079","4,192","1,673","3,214",06-06075-20200121,3,1
County,2020/01/21,06,CA,06001,Alameda County,"320,619","1,350,710","5,869,506","1,695,017","1,474,980","671,736","757,593","943,622","272,382","37,356","10,736","3,006","3,078",06-06001-20200121,3,1
County,2020/01/22,06,CA,06001,Alameda County,"310,215","1,361,114","6,051,639","1,770,421","1,541,932","684,091","769,266","956,135","277,316","36,653","10,434","2,822","2,569",06-06001-20200122,3,1
County,2020/01/22,06,CA,06075,San Francisco County,"228,934","652,615","2,818,883","971,069","794,476","356,324","384,496","208,322","79,922","17,300","3,159","1,831","1,984",06-06075-20200122,3,1
County,2020/01/22,06,CA,06081,San Mateo County,"144,333","622,240","2,701,020","796,399","686,627","306,773","385,547","397,950","101,761","16,124","5,747","1,601","2,491",06-06081-20200122,3,1
County,2020/01/22,06,CA,06085,Santa Clara County,"344,191","1,583,661","7,469,245","2,183,106","1,876,476","862,939","1,175,412","993,314","303,096","61,713","9,290","2,284","1,615",06-06085-20200122,3,1
County,2020/01/23,06,CA,06001,Alameda County,"313,152","1,358,177","6,005,813","1,761,321","1,509,034","673,714","769,150","954,038","281,724","40,532","10,163","3,321","2,816",06-06001-20200123,3,1
County,2020/01/23,06,CA,06075,San Francisco County,"229,386","652,163","2,743,049","933,071","767,479","356,510","381,329","198,891","76,865","18,835","5,778","1,728","2,563",06-06075-20200123,3,1
County,2020/01/23,06,CA,06081,San Mateo County,"145,706","620,867","2,725,299","829,587","694,734","306,033","368,223","389,374","107,542","18,100","6,483","2,304","2,919",06-06081-20200123,3,1
County,2020/01/23,06,CA,06085,Santa Clara County,"344,730","1,583,122","7,623,337","2,343,345","1,858,442","869,042","1,189,268","987,711","299,381","60,681","10,094","3,410","1,963",06-06085-20200123,3,1
County,2020/01/24,06,CA,06085,Santa Clara County,"335,847","1,592,005","8,002,277","2,386,911","2,054,413","925,195","1,255,161","991,783","302,852","65,893","14,699","3,353","2,017",06-06085-20200124,3,1
County,2020/01/24,06,CA,06081,San Mateo County,"140,370","626,203","2,909,392","874,605","761,466","311,828","407,545","403,802","109,726","23,050","11,565","2,880","2,925",06-06081-20200124,3,1
County,2020/01/24,06,CA,06075,San Francisco County,"224,603","656,946","2,987,238","1,027,600","803,594","394,167","412,295","229,952","87,116","20,258","7,816","1,721","2,719",06-06075-20200124,3,1
County,2020/01/24,06,CA,06001,Alameda County,"302,290","1,369,039","6,435,962","1,922,867","1,660,722","737,084","816,046","949,763","285,289","42,332","13,934","4,569","3,356",06-06001-20200124,3,1
County,2020/01/25,06,CA,06001,Alameda County,"338,454","1,332,875","5,956,668","1,738,728","1,595,524","704,319","745,683","833,795","264,010","52,695","15,226","3,972","2,716",06-06001-20200125,3,1
County,2020/01/25,06,CA,06075,San Francisco County,"236,795","644,754","2,874,975","982,297","806,555","357,208","392,353","219,813","78,549","26,699","7,503","1,811","2,187",06-06075-20200125,3,1
County,2020/01/25,06,CA,06081,San Mateo County,"157,343","609,230","2,703,592","791,339","720,390","306,228","388,346","348,225","106,346","25,706","12,395","2,547","2,070",06-06081-20200125,3,1
County,2020/01/25,06,CA,06085,Santa Clara County,"379,536","1,548,316","7,427,597","2,152,187","1,954,294","896,165","1,155,412","861,572","301,810","85,831","15,063","3,716","1,547",06-06085-20200125,3,1
County,2020/01/26,06,CA,06001,Alameda County,"365,086","1,306,243","5,481,259","1,614,541","1,491,963","665,872","683,583","719,889","228,244","49,760","18,981","4,956","3,470",06-06001-20200126,4,1
County,2020/01/26,06,CA,06075,San Francisco County,"242,391","639,158","2,607,916","854,380","733,832","324,394","366,698","217,386","70,741","25,131","9,422","2,894","3,038",06-06075-20200126,4,1
County,2020/01/26,06,CA,06081,San Mateo County,"171,367","595,206","2,464,355","723,817","673,932","270,422","340,968","314,427","94,204","26,650","14,309","2,687","2,939",06-06081-20200126,4,1
County,2020/01/26,06,CA,06085,Santa Clara County,"410,985","1,516,867","6,813,615","1,960,456","1,844,930","855,963","1,040,237","744,329","266,375","74,058","19,921","5,157","2,189",06-06085-20200126,4,1
