Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2019/03/23,06,CA,06001,Alameda County,397664,1273665,6931006,1970937,1805306,760052,921194,1074252,297741,60132,27296,7394,6702,06-06001-20190323,11,3
County,2019/03/23,06,CA,06075,San Francisco County,282418,599131,3324952,1137455,923060,413148,484137,244696,84212,21869,8487,2472,5416,06-06075-20190323,11,3
County,2019/03/23,06,CA,06081,San Mateo County,178037,588536,3366942,937314,930741,368883,486493,474999,119311,27282,13624,2844,5451,06-06081-20190323,11,3
County,2019/03/23,06,CA,06085,Santa Clara County,434622,1493230,8410841,2348142,2164319,944109,1417502,1071448,339815,86523,23931,7125,7927,06-06085-20190323,11,3
County,2019/03/24,06,CA,06001,Alameda County,395528,1275801,6352689,1827252,1669162,707615,809265,968822,273735,56143,25660,7230,7805,06-06001-20190324,12,3
County,2019/03/24,06,CA,06075,San Francisco County,272825,608724,3017870,1021939,839155,372624,433041,229537,76793,23616,11522,3282,6361,06-06075-20190324,12,3
County,2019/03/24,06,CA,06081,San Mateo County,173292,593281,3116136,887336,837934,342088,445520,424713,121873,28929,17277,3493,6973,06-06081-20190324,12,3
County,2019/03/24,06,CA,06085,Santa Clara County,422616,1505236,7618891,2105511,1992057,867772,1267685,945748,302062,89145,30426,8062,10423,06-06085-20190324,12,3
County,2019/03/25,06,CA,06001,Alameda County,371227,1300102,6311724,1787862,1564081,675263,834567,1060747,300055,47679,22442,9310,9718,06-06001-20190325,12,3
County,2019/03/25,06,CA,06075,San Francisco County,271109,610440,2882155,973146,788504,352894,426244,212386,89243,19903,9227,3667,6941,06-06075-20190325,12,3
County,2019/03/25,06,CA,06081,San Mateo County,163217,603356,3165674,913604,807105,345737,472181,477028,107025,20478,10127,3654,8735,06-06081-20190325,12,3
County,2019/03/25,06,CA,06085,Santa Clara County,399996,1527856,7815644,2191413,1942046,860846,1323177,1070604,308601,74256,23015,8833,12853,06-06085-20190325,12,3
County,2019/03/26,06,CA,06085,Santa Clara County,400870,1526982,7876139,2203777,1973688,853840,1341699,1082361,310280,70239,20868,7638,11749,06-06085-20190326,12,3
County,2019/03/26,06,CA,06081,San Mateo County,165429,601144,3231767,954544,833683,348838,464307,481414,112268,18535,8066,2722,7390,06-06081-20190326,12,3
County,2019/03/26,06,CA,06075,San Francisco County,274526,607023,2996053,1040290,811896,362101,448176,212668,87286,16221,7328,3117,6970,06-06075-20190326,12,3
