Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2020/04/07,06,CA,06001,Alameda County,517151,1154178,3705631,1122390,988109,389817,449026,525832,172147,38018,13922,3544,2826,06-06001-20200407,14,4
County,2020/04/08,06,CA,06001,Alameda County,514259,1157070,3721559,1126842,1002747,379941,441083,547143,167754,38454,12187,2889,2519,06-06001-20200408,14,4
County,2020/04/08,06,CA,06085,Santa Clara County,612165,1315687,4261871,1321389,1088470,465722,610699,544959,172433,45205,8678,2964,1352,06-06085-20200408,14,4
County,2020/04/08,06,CA,06081,San Mateo County,256328,510245,1691371,530264,478565,184167,219121,206557,50579,15419,4606,782,1311,06-06081-20200408,14,4
County,2020/04/08,06,CA,06075,San Francisco County,334583,546966,1852388,641458,548523,241466,209438,142015,49278,12120,5044,1385,1661,06-06075-20200408,14,4
County,2020/04/09,06,CA,06085,Santa Clara County,620037,1307815,4153436,1257777,1051597,451791,611056,541538,177986,47414,10569,2383,1325,06-06085-20200409,14,4
County,2020/04/09,06,CA,06081,San Mateo County,255549,511024,1718795,557094,497394,187698,211812,192512,52327,14028,4158,907,865,06-06081-20200409,14,4
County,2020/04/09,06,CA,06075,San Francisco County,338850,542699,1754436,597392,509032,200028,240761,134976,50467,13958,4534,1741,1547,06-06075-20200409,14,4
County,2020/04/09,06,CA,06001,Alameda County,520643,1150686,3629117,1086816,969826,380811,419102,534375,176697,43430,11818,3661,2581,06-06001-20200409,14,4
County,2020/04/10,06,CA,06085,Santa Clara County,592686,1335166,4484605,1433308,1112292,498059,636138,549885,178498,60531,12042,2489,1363,06-06085-20200410,14,4
County,2020/04/10,06,CA,06081,San Mateo County,246525,520048,1768191,558526,523424,193227,215589,193607,60779,15969,4404,1601,1065,06-06081-20200410,14,4
County,2020/04/10,06,CA,06075,San Francisco County,325481,556068,1840324,621470,541264,232961,239247,122570,57884,14537,6367,2615,1409,06-06075-20200410,14,4
County,2020/04/10,06,CA,06001,Alameda County,497985,1173344,3742170,1082197,1010753,420633,462532,526436,171810,43604,17140,4214,2851,06-06001-20200410,14,4
County,2020/04/11,06,CA,06001,Alameda County,533220,1138109,3582362,1076758,1014371,423148,435923,428266,140208,39632,16063,5238,2755,06-06001-20200411,14,4
County,2020/04/11,06,CA,06085,Santa Clara County,622784,1305068,4408104,1387653,1273078,494677,588460,444509,156525,46047,12441,3272,1442,06-06085-20200411,14,4
County,2020/04/11,06,CA,06081,San Mateo County,259246,507327,1728565,551023,539772,198901,189097,173346,53237,13418,7217,1653,901,06-06081-20200411,14,4
County,2020/04/11,06,CA,06075,San Francisco County,337222,544327,1806768,636915,548877,201464,215478,128153,49766,16377,5738,2191,1809,06-06075-20200411,14,4
